IP,AIPU,CIPU,GIPU,IPFU,IPGU
IQ,LIQU,NIQU,ITQU,AAIU,AFIU
IR,AIRU,BIRU,EIRU,IRIU,IRKU
IS,AISU,BISU,CISU,DISU,EISU
IT,AITU,BITU,EITU,GITU,HITU
IU,AAIU,AFIU,ALIU,AMIU,AOIU
IV,GIVU,IVLU,KIVU,RIVU,TIVU
IW,IWGU,IWLU,IWRU,IWTU,IMWU
IX,FIXU,IXMU,IXWU,IXXU,LIXU
IY,AIYU,AAIU,ABYU,ADYU,AFIU
IZ,IZOU,PIZU,AAIU,AFIU,AICU
JA,FJAU,JAAU,JACU,JAHU,JAMU
JB,JBBU,JBKU,JBTU,NJBU,JOBU
JC,BJCU,DJCU,IJCU,JCFU,JCJU
JD,JDNU,JDSU,JDTU,JDZU,JJDU
JE,JENU,JSEU,ABEU,ACEU,AEGU
JF,JFSU,JJFU,NJFU,JCFU,JGFU
JG,BJGU,JGFU,JGRU,JHGU,JLGU
JH,BJHU,JHCU,JHGU,JHTU,JAHU
JI,SJIU,JLIU,JNIU,AAIU,AFIU
JK,CJKU,FJKU,SJKU,JBKU,JMKU
JL,DJLU,HJLU,JLGU,JLIU,JSLU
JM,HJMU,JMKU,JAMU,JTMU,AAMU
JN,JNIU,JNJU,JDNU,JENU,JONU
JO,JOBU,JONU,JOTU,AGOU,AKOU
JP,JPRU,JPSU,JZPU,ACPU,AGPU
JQ,ALJU,APJU,AQIU,BJCU,BJGU
JR,JRDU,SJRU,JGRU,JPRU,JURU
JS,GJSU,IJSU,JSDU,JSEU,JSLU
JT,CJTU,JTAU,JTDU,JTLU,JTMU
JU,ALJU,APJU,BLJU,CLJU,CRJU
JV,JSVU,AEVU,AGVU,AKVU,ALJU
JW,FJWU,ZJWU,ALJU,ALWU,APJU
JX,JXJU,JXLU,ACXU,ADXU,AEXU
JY,CJYU,JYTU,JAYU,ABYU,ADYU
JZ,JZNU,JZPU,JZTU,TJZU,JDZU
KA,KALU,KASU,KAZU,MKAU,SKAU
KB,AKBU,BKBU,EKBU,KBSU,KKBU
