bicCode,Country,City,Company
HTXU,China,Jingmen,JINGMEN HONGTU SPECIAL AIRCRAFT MANUFACTURING CO LTD
HUKU,Belgium,ZEEBRUGGE,HUKTRA NV
HUNU,China,Yixing City,UNICON INTERNATIONAL CORP.
HVLU,Spain,BARCELONA,HARINERA VILAFRANQUINA S.A.
HVRU,Netherlands,SCHOONDIJKE,HYDRAUVISION RENTAL B.V.
HWBU,Germany,WIESBADEN-SCHIERSTEIN,HANS W. BARBE CHEMISCHE ERZEUGNISSE GMBH
HWHU,Netherlands,NUMANSDORP,HELLEMAN WAREHOUSING
HWIU,United States,"DEL NORTE, CO 81132",HEALDWORKS INC
HZFU,China,Hangzhou,"HANGZHOU FINE FLUOROTECH CO., LTD"
HZKU,Czech Republic,Praha,HZ KONTEJNERY S.R.O.
IAAU,Singapore,Singapore,INTERASIA LINES SINGAPORE PTE.LTD
IACU,Egypt,CAIRO,I.A.C.C. INTERNATIONAL  ASSOCIATED
IAGU,Switzerland,REKINGEN,INDERMUEHLE LOGISTIK AG
IAKU,Ukraine,Kyiv,INVEST AGRO CAPITAL LTD.
IAPU,Netherlands,UTRECHT,HOLIDAY ON ICE PRODUCTIONS BV
IBCU,United Kingdom,"Hull, HU3 4AE",DEN HARTOGH DRY BULK LOGISTICS LTD
IBEU,Portugal,LOURES,IBERCISTER CISTERNAS IBERICAS
IBFU,United Kingdom,"Hull, HU3 4AE",DEN HARTOGH DRY BULK LOGISTICS LTD
IBKU,United States,"JACKSON , MS 39236","INTERBULK,INC"
IBLU,United Kingdom,STOCKTON ON TEES TS17 6PT,INBULK TECHNOLOGIES LTD
IBMU,Russian Federation,MOSCOW,JSC INFOTECH-BALTIKA-M
IBTU,Netherlands,ROTTERDAM,DEN HARTOGH GLOBAL BV
ICAU,United States,"FORT LAUDERDALE, FL-33309",ICON INTERNATIONAL CONTAINER SERVICE (AMERICA) LLC
ICBU,Singapore,Singapore,INTERNATIONAL CONTAINER POOL PTE LTD
ICDU,Germany,HAMBURG,ICON INTERNATIONAL CONTAINER SCE GMBH
ICHU,Netherlands,Rotterdam,EUROTAINER SA
ICKU,Malaysia,Klang,INFINITY LOGISTICS & TRANSPORT SDN BHD
ICLU,United States,"PURCHASE, NY 10577",EXSIF WORLDWIDE
ICNU,Germany,NEUSS,ICT - INTERNATIONAL CONTAINER TRANSPORT GMBH
ICOU,Germany,HAMBURG,ICON INTERNATIONAL CONTAINER SCE GMBH
ICSU,United States,"PURCHASE, NY 10577-2135",TAL INTERNATIONAL
ICUU,United States,"GLEN ALLEN, VA 23060",INDEPENDENT CONTAINER LINE LTD
IDCU,Indonesia,BOGOR,PT INDOCEMENT TUNGGAL PRAKARSA TBK
IDGU,Germany,Grünstadt,DINGES LOGISTICS
IDSU,United Kingdom,ABERDEEN AB123LF,SWIRE OILFIELD SERVICES LTD
IDTU,United States,"Irvine, CA 92614",ODYSSEY FOODTRANS
IEAU,Barbados,BRIDGETOWN BB11144,SEACO SRL
